day,Market
2013/12/19,0.143231566
2013/12/20,0.071336897
2013/12/21,0.142220283
2013/12/22,0.004423856
2013/12/23,-0.053103398
2013/12/24,-0.136867812
2013/12/25,0.138203306
2013/12/26,-0.406020161
2013/12/27,-0.141775691
2013/12/28,0.25826709
2013/12/29,0.223138696
2013/12/30,-0.366608085
2013/12/31,0.368370445
2014/1/1,0.114176224
2014/1/2,-0.195212339
2014/1/3,-0.048449064
2014/1/4,0.118270436
2014/1/5,-0.191043183
2014/1/6,0.060681299
2014/1/7,-0.000397448
2014/1/8,0.073599688
2014/1/9,-0.217027397
2014/1/10,0.128211827
2014/1/11,0.163983039
2014/1/12,0.024779091
2014/1/13,-0.19478285
2014/1/14,0.143638858
2014/1/15,0.072450347
2014/1/16,-0.090873472
2014/1/17,-0.011180499
2014/1/18,-0.055376084
2014/1/19,-0.004350141
2014/1/20,0.037948905
2014/1/21,0.017989867
2014/1/22,0.070342358
2014/1/23,-0.176725551
2014/1/24,0.004397005
2014/1/25,0.178333798
2014/1/26,-0.085519027
2014/1/27,-0.293599236
2014/1/28,0.218804751
2014/1/29,-0.012637754
2014/1/30,0.039747484
2014/1/31,-0.07585962
2014/2/1,-0.074698248
2014/2/2,0.035656013
2014/2/3,-0.4615718
2014/2/4,0.488497518
2014/2/5,-0.315013674
2014/2/6,0.163486578
2014/2/7,0.349358518
2014/2/8,0.012419979
2014/2/9,-0.067500637
2014/2/10,0.068910048
2014/2/11,-0.043706504
2014/2/12,-0.072089061
2014/2/13,0.081811952
2014/2/14,-0.091391517
2014/2/15,0.078843212
2014/2/16,0.019461706
2014/2/17,-0.084924424
2014/2/18,0.068421455
2014/2/19,-0.209277533
2014/2/20,0.086187633
2014/2/21,-0.077680921
2014/2/22,0.362421034
2014/2/23,-0.160162958
2014/2/24,0.01226063
2014/2/25,-0.054067216
2014/2/26,0.010845111
2014/2/27,0.065299633
2014/2/28,-0.106387721
2014/3/1,0.076453411
2014/3/2,-0.41558728
2014/3/3,0.406875489
2014/3/4,0.085165847
2014/3/5,0.005290638
2014/3/6,-0.08931329
2014/3/7,-0.003437982
2014/3/8,0.02751504
2014/3/9,0.030252676
2014/3/10,-0.03842096
2014/3/11,-0.338387559
2014/3/12,0.274890041
2014/3/13,-0.128184002
2014/3/14,-0.225086992
2014/3/15,0.406983261
2014/3/16,-0.048339722
2014/3/17,-0.09109055
2014/3/18,0.116196618
2014/3/19,0.028771996
2014/3/20,-0.136917221
2014/3/21,0.020501183
2014/3/22,0.087280668
2014/3/23,-0.230304776
2014/3/24,0.05730632
2014/3/25,0.146219366
2014/3/26,-0.322258374
2014/3/27,0.261951013
2014/3/28,0.013197908
2014/3/29,0.158071857
2014/3/30,-0.226176921
2014/3/31,0.130325146
2014/4/1,0.083455207
2014/4/2,0.026987387
2014/4/3,-0.159453763
2014/4/4,-0.26779548
2014/4/5,0.129035748
2014/4/6,0.112673433
2014/4/7,-0.30225271
2014/4/8,0.297335565
2014/4/9,0.130978838
2014/4/10,-0.683542034
2014/4/11,0.155151453
2014/4/12,0.163749772
2014/4/13,-0.310021749
2014/4/14,0.12993
2014/4/15,0.128680664
2014/4/16,0.220133329
2014/4/17,0.126240034
2014/4/18,0.148110615
2014/4/19,-0.062885008
2014/4/20,0.014501091
2014/4/21,-0.028332861
2014/4/22,-0.140864274
2014/4/23,-0.02298459
2014/4/24,-0.14572141
2014/4/25,-0.480034129
2014/4/26,0.615928373
2014/4/27,-0.346041772
2014/4/28,0.102022428
2014/4/29,0.119799912
2014/4/30,0.066388909
2014/5/1,-0.018988091
2014/5/2,-0.099433017
2014/5/3,0.120766872
2014/5/4,0.083492009
2014/5/5,-0.047244569
2014/5/6,-0.486391972
2014/5/7,-0.001927532
2014/5/8,0.222902924
2014/5/9,0.087290874
2014/5/10,0.36125218
2014/5/11,-0.131877149
2014/5/12,0.099282127
2014/5/13,-0.14403466
2014/5/14,-0.198969755
2014/5/15,-0.105547019
2014/5/16,0.222545686
2014/5/17,0.187512972
2014/5/18,0.105284893
2014/5/19,-0.156308224
2014/5/20,-0.311171301
2014/5/21,0.188055272
2014/5/22,0.099551196
2014/5/23,0.095687295
2014/5/24,-0.202771322
2014/5/25,-0.224879154
2014/5/26,-0.025868364
2014/5/27,0.331775479
2014/5/28,0.085872739
2014/5/29,-0.048707379
2014/5/30,-0.060870227
2014/5/31,0.056823209
2014/6/1,-0.024431346
2014/6/2,-0.327672038
2014/6/3,0.322694441
2014/6/4,0.082797567
2014/6/5,0.070895979
2014/6/6,-0.112564833
2014/6/7,0.148556323
2014/6/8,0.041550206
2014/6/9,-0.089342506
2014/6/10,-0.017429875
2014/6/11,-0.070410222
2014/6/12,-0.125643792
2014/6/13,0.090648803
2014/6/14,0.329812997
2014/6/15,-0.154997473
2014/6/16,-0.102987036
2014/6/17,0.047032697
2014/6/18,0.014848984
2014/6/19,0.00977318
2014/6/20,-0.000481565
2014/6/21,0.158987982
2014/6/22,-0.080148829
2014/6/23,-0.009877824
2014/6/24,-0.151495095
2014/6/25,0.007668534
2014/6/26,0.065727617
2014/6/27,0.073474862
2014/6/28,-0.035321636
2014/6/29,0.122100874
2014/6/30,-0.091488422
2014/7/1,-0.016341496
2014/7/2,-0.108772285
2014/7/3,-0.126290495
2014/7/4,-0.005593956
2014/7/5,0.224780633
2014/7/6,-0.09087202
2014/7/7,-0.056592548
2014/7/8,-0.150405824
2014/7/9,0.209095113
2014/7/10,-0.053042898
2014/7/11,0.068711915
2014/7/12,0.037617932
2014/7/13,-0.179225893
2014/7/14,0.230535888
2014/7/15,-0.110923068
2014/7/16,-0.070871729
2014/7/17,-0.272619527
2014/7/18,0.345681959
2014/7/19,-0.056466173
2014/7/20,0.050062549
2014/7/21,0.110639416
2014/7/22,-0.131093974
2014/7/23,0.111418217
2014/7/24,-0.119036053
2014/7/25,-0.166821509
2014/7/26,0.129933053
2014/7/27,-0.190400079
2014/7/28,0.092507314
2014/7/29,0.122848137
2014/7/30,-0.009811438
2014/7/31,-0.158058325
2014/8/1,-0.030654335
2014/8/2,0.362790202
2014/8/3,-0.157316929
2014/8/4,-0.067923446
2014/8/5,-0.05043868
2014/8/6,0.045273101
2014/8/7,-0.053897605
2014/8/8,0.098684348
2014/8/9,0.137571661
2014/8/10,-0.05348298
2014/8/11,0.049468606
2014/8/12,-0.199281203
2014/8/13,0.064249712
2014/8/14,0.05653728
